,lat,lng,loc,type,cell_id
93,45.4619081,9.1733244,Sant'Ambrogio,metro,4954.0
94,45.47540859999999,9.1376699,Segesta,metro,5642.0
95,45.541563200000006,9.2383523,Sesto 1º Maggio,metro,8776.0
96,45.523559999999996,9.227965,Sesto Marelli,metro,7872.0
97,45.53385369999999,9.2313566,Sesto Rondò,metro,8374.0
98,45.4896,9.201092,Sondrio,metro,6264.0
99,45.4781414,9.156619099999999,Tre Torri,metro,5749.0
100,45.4759442,9.1948173,Turati,metro,5661.0
101,45.5009153,9.2211446,Turro,metro,6870.0
102,45.4914505,9.236883500000001,Udine,metro,6375.0
103,45.4933598,9.1203448,Uruguay,metro,6437.0
104,45.5174545,9.2261302,Villa San Giovanni,metro,7672.0
105,45.515758399999996,9.2856489,Vimodrone,metro,7592.0
106,45.4678441,9.1552957,Wagner,metro,5248.0
107,45.465515100000005,9.195363,Zara,metro,5162.0
108,45.485951899999996,9.206434,Terravision bus stop,bus,6165.0
109,45.4865966,9.202404800000002,Piazza Iv Novembre Stazione Centrale,bus,6164.0
110,45.46992729999999,9.191456800000001,Via M.te Pietà prima di Via Croce Rossa,bus,5360.0
111,45.4579975,9.19369,Via F.Sforza 48 prima di C.so di P.ta Romana,bus,4761.0
112,45.46772310000001,9.170934,Via Boccaccio prima di Via A.Saffi,bus,5254.0
113,45.46742070000001,9.2045781,Via Donizetti 48 prima di C.so Monforte,bus,5265.0
114,45.486224799999995,9.1360772,P.za S.Maria Nascente,bus,6142.0
115,45.4594318,9.0841974,Via Noale dopo Via Val Badia,bus,4825.0
116,45.4738785,9.139822099999998, P.za M.te Falterona 5,bus,5543.0
117,45.504876200000005,9.222690900000002,Via M.te S.Gabriele dopo V.le Monza,bus,7071.0
118,45.4741407,9.1932272,Via De Marchi dopo Via Montebello,bus,5561.0
119,45.4701592,9.1758727,Fermata Movibus,bus,5355.0
120,45.4790698,9.1979716, P.za della Repubblica Lato 14 dopo V.le Vittorio Veneto,bus,5763.0
121,45.479186999999996,9.198281800000002, P.za della Repubblica Lato 14 dopo V.le Vittorio Veneto,bus,5763.0
122,45.511425700000004,9.224471300000001,V.le Monza 208 dopo Via Don Guanella,bus,7371.0
123,45.476335999999996,9.1949539,Via Turati prima di Via Mangili,bus,5662.0
124,45.4574056,9.181124,Via Molino delle Armi prima di C.so di P.ta Ticinese,bus,4757.0
125,45.4572042,9.1809611,Via Molino delle Armi prima di C.so di P.ta Ticinese,bus,4757.0
126,45.46548610000001,9.175463,Via Carducci 13 prima di C.so Magenta,bus,5155.0
127,45.5018267,9.2101636,Via E.De Marchi Altezza P.za Greco,bus,6867.0
128,45.479236,9.2235475,V.le Romagna 69 dopo P.le Piola,bus,5871.0
129,45.485252100000004,9.2159351,Loreto M1 m2,bus,6068.0
130,45.494952000000005,9.2162555,Via Martiri Oscuri Fronte 21,tram,6569.0
131,45.4663821,9.188888,Via S.Margherita prima di P.za della Scala,tram,5160.0
132,45.463440000000006,9.1942308,P.za Fontana,tram,5061.0
133,45.4722564,9.206544300000001,V.le Piave 27 prima di Via Morelli,tram,5465.0
134,45.451934200000004,9.2273227,Via del Turchino 13 prima di Via Maspero,tram,4572.0
135,45.4924374,9.203509599999999,V.le Lunigiana dopo Via M.Gioia,tram,6464.0
136,45.47438629999999,9.1647943,Via V.Monti prima di P.za Giovanni Xxiii.,tram,5551.0
137,45.46820659999999,9.175885000000001,Cadorna FN M1 M2,tram,5255.0
138,45.47557219999999,9.194743699999998,L.go Donegani 2 prima di Via Moscova,tram,5661.0
139,45.4640976,9.1919265,Duomo,tram,5061.0
140,45.5000086,9.148001400000002,Via C.Marcello prima di Via Grugnola,tram,6746.0
141,45.4857275,9.1588424,C.so Sempione Fronte 77 prima di Via Em.Filiberto,tram,6149.0
142,45.4792821,9.1669191,C.so Sempione 27 prima di Via Villasanta,tram,5852.0
143,45.484480600000005,9.1873881,Stazione Garibaldi,tram,6059.0
144,45.48970749999999,9.204763900000001,Via Schiaparelli prima di Via Ponte Seveso,tram,6265.0
145,45.479069200000005,9.2257619,P.za L. Da Vinci Fronte 9 prima di Via Spinoza,tram,5772.0
146,45.4730321,9.215314700000002,Via degli Scipioni 1/A prima di P.za M.Adelaide di Savoia,tram,5568.0
147,45.4636732,9.189977800000001,Duomo M1 M3,tram,5060.0
148,45.477023200000005,9.160707,P.za 6 Febbraio 4 prima di Via Vincenzo Monti,tram,5650.0
