id,kind,ARIMA,HW,LSTM,PROPHET,NPPT
5738,event,"74,614","15,16","67,0621407217411","178,648824081516","11,6239570081234"
5160,core,"293,672","9,06","96,6092134163906","201,614188912526","8,50302428007126"
5161,core,"377,101","8,78","74,3411147756609","220,742410235037","8,65893959999085"
5060,core,"142,784","8,14","60,7861082721997","120,13008997063","8,20160359144211"
5061,core,"141,772","9,18","55,000115734768","131,244673381982","9,34084951877594"
4861,core,"92,343","8,86","40,2837777956906","115,170276781304","8,32976549863815"
4761,core,"88,949","7,45","42,8857605578651","100,229114456815","7,52262324094772"
4360,core,"92,056","9,11","80,9971998425648","186,178505472419","7,85677433013916"
4259,core,"92,863","9,75","73,9473500087198","162,223217958141","8,17432403564453"
4359,core,"94,8","9,04","70,3762647165734","152,940033332266","7,68183544278145"
4350,core,"52,245","9,71","49,4596012932203","54,7240170551405","8,2936592400074"
4351,core,"51,272","12,15","53,3901983734658","60,8216255510903","9,69022065401077"
4352,core,"60,846","10,91","59,0603872607313","72,9258945806228","9,00987684726715"
4353,core,"63,445","10,63","61,1698875340344","59,1215555950808","8,87286886572838"
4452,core,"78,076","12,95","57,2783393199978","108,855705920843","10,9581850469112"
4453,core,"81,043","11,56","65,5578705932683","82,2266877594903","9,10104736685753"
4454,core,"81,564","13,15","80,942299928449","60,1006050335544","9,99387353658676"
4455,core,"58,434","9,44","36,9489300205135","75,3806336267357","8,06260108947754"
4456,core,"60,766","7,81","41,1534740368613","77,6268471874257","7,24093392491341"
4556,core,"72,939","8,76","43,6402736690539","58,9319218783983","7,9830139875412"
4356,core,"66,024","11,28","47,9009928053882","88,4777845178354","9,0598464012146"
4355,core,"58,539","8,89","37,5271147289867","78,638529953982","7,6434038579464"
4354,core,"65,808","8,85","50,8606247813524","61,5627233684994","7,4528880417347"
4250,core,"47,298","9,68","46,7541528841315","49,8205853508388","8,13700780272484"
4251,core,"48,713","10,57","49,4184925658665","45,3541379627186","8,65641385316849"
4252,core,"59,136","11,31","58,4344190671572","60,3514847204786","9,00964289903641"
4253,core,"60,849","11,57","58,732187022228","64,3324286053827","9,54867675900459"
4254,core,"59,52","6,85","43,0693996243785","82,2749374895103","6,65416643023491"
4255,core,"61,56","7,94","41,2963183218951","85,1040797182979","7,21647590398788"
4256,core,"59,888","6,51","37,0716637619788","88,6334911616221","6,5380334854126"
4156,core,"56,916","6,41","36,061980923379","84,8887795200766","6,53259456157684"
4155,core,"60,513","7,82","38,389958622193","79,963331482553","7,12047666311264"
4154,core,"63,313","6,58","48,2393643725736","92,7232105054862","6,70295655727387"
4153,core,"72,081","8,60","64,0667552309088","101,140212054483","7,34708160161972"
4151,core,"62,417","9,70","59,3742710420619","71,1116945746722","8,27442109584808"
